Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58926,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-07-02,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27208μS/cm is below the normal range of 30000.0μS/cm.,7.83,5.71,16.74,27208,18.9,,,,,8.66
58927,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-07-10,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26471μS/cm is below the normal range of 30000.0μS/cm.,7.85,8.63,16.24,26471,18.3,17205.5,,,,235.82
58928,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-07-10,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26360μS/cm is below the normal range of 30000.0μS/cm.,7.91,8.2,16.18,26360,18,17134,,,,10.34
58929,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-07-10,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27316μS/cm is below the normal range of 30000.0μS/cm.,8.05,9.45,16.82,27316,17.9,17764.5,,,,31.17820276
58930,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-17,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 21475μS/cm is below the normal range of 30000.0μS/cm.,7.51,6.9,12.92,21475,20.2,13949,0,0,0,53
58931,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-17,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,"",Needs review,Review needed: conductivity's result of 23750μS/cm is below the normal range of 30000.0μS/cm.,7.81,7.45,14.43,23750,18.6,15437,40,20,0.5,512.43
58932,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-17,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 23737μS/cm is below the normal range of 30000.0μS/cm.,8.04,8.84,14.42,23737,18.7,15431,40,0,0,451.1966791
58933,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-23,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27239μS/cm is below the normal range of 30000.0μS/cm.,7.27,5.28,16.76,27239,20.7,17706,40,0,0,147.4
58934,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-24,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 28261μS/cm is below the normal range of 30000.0μS/cm.,7.56,5.91,17.48,28261,20.9,18375.5,0,0,0,68.16
58935,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-24,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 23215μS/cm is below the normal range of 30000.0μS/cm.,8.04,8.34,14.07,23215,20.4,15086,0,0,0.5,98.81679159
58936,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-29,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27161μS/cm is below the normal range of 30000.0μS/cm.,7.58,6.4,16.69,27161,20.5,17647.5,0,0,0,183.83
58937,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-07-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26609μS/cm is below the normal range of 30000.0μS/cm.,7.65,7.75,16.35,26609,20.8,17303,40,0,0,1334.76
