Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58976,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.02,8.92,24.4,38564,9.6,25064,,,,6.04
58977,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.62,7.67,26.87,42000,10.5,27313,,,,0.6
58978,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-11-13,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.5,8.6,20.12,32720,9.8,21255.9,,,,30.66
58979,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-11-13,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.63,8.94,20.36,32745,9.4,21281,,,,12.58
58980,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-11-13,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.73,9.63,20.22,32551,9.1,21151,,,,
58981,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-11-27,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.42,6.78,26.63,41761,9.4,27150.5,,,,82.43
58982,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-11-27,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.55,8.01,27.53,43000,8.8,27995.5,,,,4.91
58983,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-11-27,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.58,8.64,27.77,43455,8.9,28242.5,,,,
58984,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-12-11,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.2,8.54,23.53,37567,8.3,24362,,,,554.62
58985,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,6,Swim Drink Fish Canada,2019-12-11,16:00,-08:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.57,7.05,27.19,42493,9,27644.5,,,,
